,Name,Phone,Address,Website,City,Country,Postal Code,Latitude,Longitude
0,Toranj Restaurant 1,416-225-3222,"4750 Yonge St, Unit 132, North York, ON M2N 5M6",https://www.toranj.ca,North York,Canada,M2N 5M6,43.7602117,-79.41149469999999
1,Toranj Restaurant 2,647-350-3222,"6464 Yonge St, Unit 115, Toronto, ON M2M 3X4",https://www.toranj.ca,Toronto,Canada,M2M 3X4,43.7957451,-79.4222344
2,Darbar Restaurant,416-519-4545,"2015 Avenue Rd, North York, ON M5M 4A5, Canada",https://www.darbarpersiangrill.com,North York,Canada,M5M 4A5,43.73551200000001,-79.41965309999999
3,Behesht Restaurant,647-367-9760,"10165 Yonge Street, Church St N, Richmond Hill, ON L4C 1T5, Canada",,Richmond Hill,Canada,L4C 1T5,43.875376,-79.43773139999999
4,Shamshiri Restaurant,416-578-4000,"280 Sheppard Ave E, North York, ON M2N 3B1, Canada",,North York,Canada,M2N 3B1,43.7644977,-79.39859799999999
5,Bartar Restaurant,905-747-0888,"230 Commerce Valley Dr E #9, Thornhill, ON L3T 7Y3, Canada",,Thornhill,Canada,L3T 7Y3,43.8436645,-79.37780889999999
6,Altuna Kebab,647-348-1067,"6099 Yonge St, North York, ON M2M 3W5, Canada",,North York,Canada,M2M 3W5,43.7912366,-79.4178802
7,Taste of Persia,416-322-6777,"1574 Bayview Ave, Toronto, ON M4G 3B7, Canada",,Toronto,Canada,M4G 3B7,43.7055588,-79.375283
8,Pomegranate Restaurant,416-921-7557,"420 College St, Toronto, ON M5T 1T3, Canada",,Toronto,Canada,M5T 1T3,43.6567923,-79.4069384
9,Sumac Kebab,416-627-8400,"287 Dundas St W, Toronto, ON M5T 1G2, Canada",,Toronto,Canada,L4C 3E1,43.6542351,-79.3909678
10,Persian Palace,905-737-4900,"10711 Yonge St, Richmond Hill, ON L4C 3E1, Canada",,Toronto,Canada,L4C 3E1,43.8887141,-79.4407996
11,Parkway Restaurant,416-551-7910,"379 Eglinton Ave E, Toronto, ON M4P 1M5, Canada",,Richmond Hill,Canada,M4P 1M5,43.7092031,-79.38511419999999
12,Herby Restaurant,416-466-9933,"397 Danforth Ave, Toronto, ON M4K 1P1, Canada",,Toronto,Canada,M4K 1P1,43.6773908,-79.3514325
13,Tahchin Bar,905-597-4554,"7181 Yonge St #16, Thornhill, ON L3T 0C7, Canada",,Thornhill,Canada,L3T 0C7,43.8031686,-79.4196358
14,Shomal Restaurant,905-881-7704,"100 Steeles Ave E, Vaughan, ON L4J 7Y1, Canada",,Vaughan,Canada,L4J 7Y1,43.7980767,-79.424539
15,Deedar Restaurant,905-669-9988,"1450 Clark Ave W Unit 26, Thornhill, ON L4J 7R5, Canada",https://deedar.ca,Thornhill,Canada,L4J 7R5,43.7983141,-79.4697348
